Aircraft Type,Aircraft Subtype,Aircraft Name,Year in Service,Country of Origin,Operator(s) if different from country of origin
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft","Breguet 691, 693, 695",1939,France,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Curtiss A-12 Shrike[1],1933,US,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Curtiss O-52 Owl,1940,US,"US, USSR"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",DAR-3 Garvan,1937,Bulgaria,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Douglas O-43,1933,US,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Douglas O-46,1936,US,"US, Philippines"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Fairey Battle,1937,UK,"UK, Australia, Belgium, Canada, Greece"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Fairey Fox,1932,UK,Belgium
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Fairey Gordon,1931,UK,"UK, New Zealand"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Fairey IIIF[notes 16],1926,UK,"UK, Greece"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Focke-Wulf Fw 189,1941,Germany,"Germany, Bulgaria, Hungary, Romania"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Fokker C.V,1924,Netherlands,"Netherlands, Denmark, Finland, Norway"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Fokker C.VIII,1928,Netherlands,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Fokker C.X,1932,Netherlands,"Netherlands, Finland"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Hawker Hart,1930,UK,"UK, Finland"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft","Hawker Audax, Nisr & Hartebees",1931,UK,"UK, India, Iraq, Persia, South Africa"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Hawker Hector,1936,UK,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Hawker Hind,1935,UK,"UK, New Zealand"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Hawker Horsley/Dantorp,1927,UK,"Greece, Denmark"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Heinkel He 45,1931,Germany,"Germany, Bulgaria, Hungary"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Heinkel He 46,1931,Germany,"Germany, Hungary"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Heinkel He 50,1935,Germany,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Henschel Hs 123,1936,Germany,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Henschel Hs 126,1937,Germany,"Germany, Greece"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Henschel Hs 129,1938,Germany,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",IAR 37/38/39,1938,Romania,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Ilyushin Il-2,1941,USSR,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Ilyushin Il-10,1944,USSR,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",IMAM Ro.37,1935,Italy,"Italy, Hungary"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Junkers Ju 87,1937,Germany,"Germany, Bulgaria, Italy"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Kaproni Bulgarski KB-11,1941,Bulgaria,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Kawasaki Ki-32,1938,Japan,"Japan, Manchukuo"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Kharkov KhAI-5/Neman R-10,1936,USSR,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Letov Š-16,1928,Czechoslovakia,"Czechoslovakia, Latvia, Turkey"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Letov Š-328,1934,Czechoslovakia,"Czechoslovakia, Bulgaria, Germany, Slovakia"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Lublin R-XIII,1932,Poland,"Poland, Romania"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Mitsubishi Ki-30,1938,Japan,"Japan, Thailand"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Mitsubishi Ki-51,1939,Japan,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",North American A-36 Apache dive bomber[notes 17],1942,US,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",North American O-47,1934,US,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Northrop/Douglas A-17/8-A/Nomad,1935,US,"US, South Africa, Canada, France, Iraq, Netherlands, Norway, UK"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Polikarpov Po-2,1929,USSR,"USSR, Finland"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Polikarpov R-5,1931,USSR,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Polikarpov R-Z,1935,USSR,USSR
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Potez 25[notes 18],1925,France,"France, Yugoslavia, Poland"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",PZL.23/43 Karaś,1936,Poland,"Poland, Romania, Bulgaria"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",PZL.43,1936,Poland,"Poland, Germany, Bulgaria"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Reggiane Re.2002,1941,Italy,"Italy, Germany"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Rogožarski R-100,1938,Yugoslavia,"Yugoslavia, Croatia"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Renard R-31,1935,Belgium,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",RWD-14 Czapla,1939,Poland,"Poland, Romania"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Saab 17,1940,Sweden,Denmark
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Savoia-Marchetti SM.85,1939,Italy,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Tachikawa Ki-36,1938,Japan,"Japan, Thailand"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Vickers Vildebeest,1933,UK,"UK, New Zealand"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Vickers Wellesley,1937,UK,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",VL Kotka,1931,Finland,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Vought O2U & O3U Corsair,1926,US,"US, Brazil, China, Thailand"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Vultee A-31/A-35/Vengeance dive bomber,1942,US,"US, Australia, Brazil, France, India, UK"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Vultee V-11/V-12/A-19/BSh-1[notes 19],1939,US,"US, Brazil, China, USSR"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Weiss WM-21 Sólyom,1938,Hungary,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Westland Lysander[4],1936,UK,"UK, Canada, France, Finland, India, US"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Westland Wapiti[5],1928,UK,"Australia, Canada, India"
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Westland Wallace,1933,UK,
Bomber and Attack aircraft,"Light bombers, Tactical reconnaissance and Observation aircraft",Yakovlev Yak-4,1941,USSR,
Bomber and Attack aircraft,Carrier-based naval bombers,Aichi B7A torpedo/dive bomber,1945,Japan,
Bomber and Attack aircraft,Carrier-based naval bombers,Aichi D1A dive bomber[1],1934,Japan,
Bomber and Attack aircraft,Carrier-based naval bombers,Aichi D3A dive bomber,1937,Japan,
Bomber and Attack aircraft,Carrier-based naval bombers,Blackburn Skua fighter/dive bomber,1938,UK,
Bomber and Attack aircraft,Carrier-based naval bombers,Brewster SB2A Buccaneer/Bermuda dive bomber,1941,US,"US, UK"
Bomber and Attack aircraft,Carrier-based naval bombers,Consolidated TBY Sea Wolf torpedo bomber,1944,US,
Bomber and Attack aircraft,Carrier-based naval bombers,Curtiss SB2C Helldiver/A-25 Shrike dive bomber,1943,US,"US, Australia, UK"
Bomber and Attack aircraft,Carrier-based naval bombers,Curtiss SBC Helldiver/Cleveland dive bomber,1938,US,"US, France, UK"
Bomber and Attack aircraft,Carrier-based naval bombers,Douglas DT torpedo bomber[notes 20],1921,US,Norway
Bomber and Attack aircraft,Carrier-based naval bombers,Douglas SBD Dauntless/A-24 Banshee dive bomber,1940,US,"US, New Zealand"
Bomber and Attack aircraft,Carrier-based naval bombers,Douglas TBD Devastator torpedo bomber,1935,US,
Bomber and Attack aircraft,Carrier-based naval bombers,Fairey Albacore torpedo/dive bomber,1940,UK,"UK, Canada"
Bomber and Attack aircraft,Carrier-based naval bombers,Fairey Barracuda torpedo/dive bomber,1942,UK,
Bomber and Attack aircraft,Carrier-based naval bombers,Fairey Swordfish torpedo bomber,1936,UK,"UK, Canada"
Bomber and Attack aircraft,Carrier-based naval bombers,Fieseler Fi 167 torpedo/reconnaissance bomber,1940,Germany,"Germany, Croatia, Romania"
Bomber and Attack aircraft,Carrier-based naval bombers,Grumman TBF/TBM Avenger torpedo bomber,1942,US,"US, UK, New Zealand"
Bomber and Attack aircraft,Carrier-based naval bombers,Loire-Nieuport LN.401 dive bomber,1939,France,
Bomber and Attack aircraft,Carrier-based naval bombers,Mitsubishi B5M torpedo bomber,1937,Japan,
Bomber and Attack aircraft,Carrier-based naval bombers,Nakajima B5N torpedo bomber,1938,Japan,
Bomber and Attack aircraft,Carrier-based naval bombers,Nakajima B6N torpedo bomber,1942,Japan,
Bomber and Attack aircraft,Carrier-based naval bombers,Naval Aircraft Factory SBN dive bomber,1941,US,
Bomber and Attack aircraft,Carrier-based naval bombers,Vought SB2U Vindicator/Chesapeake dive bomber,1937,US,"US, UK, France"
Bomber and Attack aircraft,Carrier-based naval bombers,Yokosuka B4Y torpedo bomber,1936,Japan,
Bomber and Attack aircraft,Carrier-based naval bombers,Yokosuka D4Y dive bomber/night fighter,1942,Japan,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Arado Ar 234 reconnaissance/bomber,1944,Germany,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Boeing B-17 Flying Fortress,1940,US,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Consolidated F-7 Liberator,1940,US,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,de Havilland Mosquito PR variants,1941,UK,"UK, Canada, US"
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Dornier Do 17Z-3,1937,Germany,"Germany, Yugoslavia"
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Dornier Do 215B-0/1/4,1939,Germany,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Dornier Do 217A-0,1941,Germany,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Douglas F-3 Havoc,1941,US,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Fiat CR.25,1940,Italy,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,"Focke-Wulf Fw 190A-3/U4, A-4/U4 & A-5/U4",1941,Germany,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Focke-Wulf Ta 152H-1-0,1945,Germany,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Heinkel He 70K/170,1937,Germany,Hungary
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Junkers Ju 86P,1936,Germany,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Junkers Ju 88D & T,1939,Germany,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Junkers Ju 188D & F,1943,Germany,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Lockheed F-4 and F-5 Lightning,1941,US,"US, France, Italy"
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Messerschmitt Bf 109E-5/F-6/G-4,1937,Germany,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Messerschmitt Bf 110C-5/E-3/F-3,1937,Germany,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Messerschmitt Me 210B,1943,Germany,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Messerschmitt Me 262A-1a/U3,1944,Germany,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,"Messerschmitt Me 410A-1/U-1, A-2/U-1 & A-3",1943,Germany,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Mitsubishi Ki-15/C5M,1937,Japan,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Mitsubishi Ki-46,1941,Japan,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Nakajima C6N,1944,Japan,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,North American F-6 Mustang,1942,US,"US, France"
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Potez 63.11,1939,France,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,PWS-10[notes 21],1932,Poland,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Supermarine Spitfire PR variants,1938,UK,"UK, US, USSR and others"
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Yakovlev Yak-9R,1942,USSR,
Strategic and Photo-reconnaissance aircraft,Strategic and Photo-reconnaissance aircraft,Yokosuka R2Y,1945,Japan,
Seaplanes,Flying boats,Aichi E11A,1937,Japan,
Seaplanes,Flying boats,Aichi H9A,1942,Japan,
Seaplanes,Flying boats,Beriev MBR-2,1935,USSR,
Seaplanes,Flying boats,Blohm & Voss BV 138,1940,Germany,
Seaplanes,Flying boats,Blohm & Voss BV 222,1941,Germany,
Seaplanes,Flying boats,Boeing 314 Clipper/C-98,1939,US,
Seaplanes,Flying boats,Breguet 521 Bizerte & 530 Saigon,1935,France,"France, Germany"
Seaplanes,Flying boats,CAMS 37,1926,France,
Seaplanes,Flying boats,CAMS 55,1930,France,
Seaplanes,Flying boats,Canadian Vickers Vancouver,1930,Canada,
Seaplanes,Flying boats,Canadian Vickers Vedette,1925,Canada,
Seaplanes,Flying boats,CANT Z.501,1935,Italy,"Italy, Romania"
Seaplanes,Flying boats,Chyetverikov MDR-6,1941,USSR,
Seaplanes,Flying boats,Consolidated PBY/PBN/PBV/OA-10 Catalina/Canso[4],1935,US,"US, Australia, Brazil, Canada, France, Norway, UK, USSR"
Seaplanes,Flying boats,Consolidated P2Y,1929,US,"Argentina, Columbia, Japan, US"
Seaplanes,Flying boats,Consolidated PB2Y Coronado,1937,US,"US, UK"
Seaplanes,Flying boats,Dornier Do 18,1938,Germany,
Seaplanes,Flying boats,Dornier Do 24,1937,Germany,"Germany, Australia, Netherlands"
Seaplanes,Flying boats,Dornier Do 26,1938,Germany,
Seaplanes,Flying boats,Dornier Do J,1922,Germany,"Germany, Denmark"
Seaplanes,Flying boats,Douglas Dolphin,1931,US,"US, Australia, China"
Seaplanes,Flying boats,Grumman J2F Duck,1936,US,
Seaplanes,Flying boats,Grumman J4F Widgeon/Gosling,1940,US,"US, Brazil, UK"
Seaplanes,Flying boats,Grumman JRF Goose,1937,US,"US, Brazil, Canada, UK"
Seaplanes,Flying boats,Hall PH,1931,US,
Seaplanes,Flying boats,Ikarus IO,1926,Yugoslavia,
Seaplanes,Flying boats,Ikarus ŠM,1924,Yugoslavia,
Seaplanes,Flying boats,Kawanishi E11K,1937,Japan,
Seaplanes,Flying boats,Kawanishi H6K,1938,Japan,
Seaplanes,Flying boats,Kawanishi H8K,1942,Japan,
Seaplanes,Flying boats,Latécoère 300,1932,France,
Seaplanes,Flying boats,Latécoère 521-523,1935,France,
Seaplanes,Flying boats,Latécoère 611[2],1940,France,
Seaplanes,Flying boats,Latécoère 631,1942,France,
Seaplanes,Flying boats,Loire 70,1937,France,
Seaplanes,Flying boats,Loire 130,1937,France,
Seaplanes,Flying boats,Loire 501,1933,France,
Seaplanes,Flying boats,Lioré et Olivier LeO H-47,1937,France,
Seaplanes,Flying boats,Lioré et Olivier LeO H-242,1929,France,France
Seaplanes,Flying boats,Lioré et Olivier LeO H-246,1939,France,"France, Germany"
Seaplanes,Flying boats,Macchi M.C.94,1936,Italy,
Seaplanes,Flying boats,Macchi M.C.100,1940,Italy,
Seaplanes,Flying boats,Martin JRM Mars,1943,US,
Seaplanes,Flying boats,Martin M-130,1934,US,
Seaplanes,Flying boats,Martin PBM Mariner,1940,US,"US, UK, Australia, Netherlands"
Seaplanes,Flying boats,Potez 452,1936,France,
Seaplanes,Flying boats,Potez 141[2],1938,France,"France, Germany"
Seaplanes,Flying boats,Potez-CAMS 161,1938,France,"France, Germany"
Seaplanes,Flying boats,RAS-1 Getta,1925,Romania,
Seaplanes,Flying boats,Saro Cutty Sark,1930,UK,"UK, China, New Zealand"
Seaplanes,Flying boats,Saro Lerwick,1940,UK,"UK, Canada"
Seaplanes,Flying boats,Saro London,1936,UK,"UK, Canada"
Seaplanes,Flying boats,Savoia-Marchetti S.55,1926,Italy,Italy
Seaplanes,Flying boats,Savoia-Marchetti S.66,1931,Italy,Italy
Seaplanes,Flying boats,Shavrov Sh-2,1934,USSR,"USSR, Finland"
Seaplanes,Flying boats,Short Empire,1936,UK,"UK, Australia, New Zealand"
Seaplanes,Flying boats,Short S.26,1940,UK,
Seaplanes,Flying boats,Short Sandringham,1940,UK,"Argentina, Australia, France, New Zealand, Norway, UK, Uruguay, US"
Seaplanes,Flying boats,Short Singapore,1935,UK,"UK, New Zealand"
Seaplanes,Flying boats,Short Sunderland,1938,UK,"UK, Australia, France, New Zealand, Norway, Canada"
Seaplanes,Flying boats,Sikorsky S-40,1931,US,
Seaplanes,Flying boats,Sikorsky S-42,1934,US,
Seaplanes,Flying boats,Sikorsky JRS-1/OA-8,1935,US,
Seaplanes,Flying boats,Sikorsky VS-44,1937,US,
Seaplanes,Flying boats,SNCASE SE.200[notes 22],1942,France,Germany
Seaplanes,Flying boats,Supermarine Sea Otter,1942,UK,
Seaplanes,Flying boats,Supermarine Stranraer[4],1937,UK,"UK, Canada"
Seaplanes,Flying boats,Supermarine Walrus,1935,UK,"UK, Australia, Canada, France, New Zealand"
Seaplanes,Flying boats,Tupolev MTB-1,1929,USSR,
Seaplanes,Flying boats,Yokosuka H5Y,1939,Japan,
Seaplanes,Floatplanes,Aichi E13A,1941,Japan,"Japan, Thailand"
Seaplanes,Floatplanes,Aichi E16A,1944,Japan,
Seaplanes,Floatplanes,Aichi M6A[6],1945,Japan,
Seaplanes,Floatplanes,Arado Ar 95,1936,Germany,
Seaplanes,Floatplanes,Arado Ar 196,1938,Germany,"Germany, Bulgaria, Finland, Norway"
Seaplanes,Floatplanes,Arado Ar 199 trainer,1939,Germany,
Seaplanes,Floatplanes,Arado Ar 231[6],1941,Germany,Germany
Seaplanes,Floatplanes,Beriev Be-2,1938,USSR,
Seaplanes,Floatplanes,Beriev Be-4,1942,USSR,
Seaplanes,Floatplanes,Besson MB.411[6],1935,France,
Seaplanes,Floatplanes,CANT Z.506,1936,Italy,
Seaplanes,Floatplanes,CANT Z.515,1940,Italy,
Seaplanes,Floatplanes,Curtiss SC Seahawk,1944,US,
Seaplanes,Floatplanes,Curtiss SO3C Seamew,1942,US,"US, UK"
Seaplanes,Floatplanes,Curtiss SOC Seagull,1935,US,
Seaplanes,Floatplanes,Dornier Do 22,1938,Germany,"Germany, Finland, Yugoslavia, Greece"
Seaplanes,Floatplanes,Fairey Seafox,1937,UK,
Seaplanes,Floatplanes,Fairey Swordfish,1936,UK,
Seaplanes,Floatplanes,Farman NC.470,1938,France,
Seaplanes,Floatplanes,Fiat RS.14,1941,Italy,
Seaplanes,Floatplanes,Fokker C.XI-W,1935,Netherlands,
Seaplanes,Floatplanes,Fokker C.XIV-W,1937,Netherlands,
Seaplanes,Floatplanes,Fokker T.IV,1927,Netherlands,
Seaplanes,Floatplanes,Fokker T.VIII,1938,Netherlands,"Netherlands, Germany, UK"
Seaplanes,Floatplanes,Gourdou-Leseurre GL-810-813 HY,1930,France,
Seaplanes,Floatplanes,Gourdou-Leseurre GL-832 HY,1930,France,
Seaplanes,Floatplanes,Heinkel HE 8[notes 23],1927,Germany,Denmark
Seaplanes,Floatplanes,Heinkel He 42 floatplane trainer,1929,Germany,"Germany, Bulgaria"
Seaplanes,Floatplanes,Heinkel He 59,1935,Germany,"Germany, Finland"
Seaplanes,Floatplanes,Heinkel He 60,1933,Germany,"Germany, Bulgaria"
Seaplanes,Floatplanes,Heinkel He 114,1939,Germany,"Germany, Romania"
Seaplanes,Floatplanes,Heinkel He 115,1939,Germany,"Germany, Finland, Norway, UK"
Seaplanes,Floatplanes,IMAM Ro.43,1935,Italy,
Seaplanes,Floatplanes,IMAM Ro.44,1936,Italy,
Seaplanes,Floatplanes,Kawanishi E7K,1935,Japan,
Seaplanes,Floatplanes,Kawanishi N1K floatplane trainer,1944,Japan,
Seaplanes,Floatplanes,Latécoère 290,1934,France,
Seaplanes,Floatplanes,Latécoère 298,1938,France,"France, Germany"
Seaplanes,Floatplanes,Levasseur PL.15,1933,France,
Seaplanes,Floatplanes,Lioré et Olivier LeO H-43,1940,France,
Seaplanes,Floatplanes,Lublin R.VIII floatplane trainer,1928,Poland,Poland
Seaplanes,Floatplanes,Marinens Flyvebaatfabrikk/Høver M.F.8 floatplane trainer,1924,Norway,
Seaplanes,Floatplanes,Marinens Flyvebaatfabrikk/Høver M.F.10,1929,Norway,
Seaplanes,Floatplanes,Marinens Flyvebaatfabrikk/Høver M.F.11 floatplane trainer,1932,Norway,"Norway, Finland"
Seaplanes,Floatplanes,Mitsubishi F1M,1941,Japan,
Seaplanes,Floatplanes,Nakajima A6M2-N,1942,Japan,
Seaplanes,Floatplanes,Nakajima E8N,1935,Japan,"Japan, Thailand"
Seaplanes,Floatplanes,Northrop Delta,1936,US,Canada
Seaplanes,Floatplanes,Northrop N-3PB,1940,US,Norway
Seaplanes,Floatplanes,Rogožarski SIM-XII-H,1938,Yugoslavia,
Seaplanes,Floatplanes,Rogožarski SIM-XIV-H,1939,Yugoslavia,
Seaplanes,Floatplanes,VL Sääski floatplane trainer,1928,Finland,
Seaplanes,Floatplanes,Vought OS2U Kingfisher,1938,US,"US, Australia, UK"
Seaplanes,Floatplanes,Watanabe E9W[6],1938,Japan,
Seaplanes,Floatplanes,Watanabe K6W/WS-103,1938,Japan,"Japan, Thailand"
Seaplanes,Floatplanes,Yokosuka E14Y[6],1941,Japan,
Seaplanes,Floatplanes,Yokosuka K4Y,1933,Japan,
Transport and Utility aircraft,Passenger and Cargo aircraft,Arado Ar 232,1943,Germany,
Transport and Utility aircraft,Passenger and Cargo aircraft,Armstrong Whitworth Albemarle,1940,UK,"UK, USSR"
Transport and Utility aircraft,Passenger and Cargo aircraft,Avro Lancastrian,1945,UK,
Transport and Utility aircraft,Passenger and Cargo aircraft,Avro York,1944,UK,
Transport and Utility aircraft,Passenger and Cargo aircraft,Boeing 247/UC-73,1933,US,"US, UK, Canada"
Transport and Utility aircraft,Passenger and Cargo aircraft,Boeing 307/UC-75,1940,US,
Transport and Utility aircraft,Passenger and Cargo aircraft,Boeing C-108 Flying Fortress,1943,US,US
Transport and Utility aircraft,Passenger and Cargo aircraft,Bristol Buckingham[notes 24],1943,UK,
Transport and Utility aircraft,Passenger and Cargo aircraft,Budd RB Conestoga,1944,US,
Transport and Utility aircraft,Passenger and Cargo aircraft,Caproni Ca.111,1932,Italy,
Transport and Utility aircraft,Passenger and Cargo aircraft,Caproni Ca.133,1935,Italy,
Transport and Utility aircraft,Passenger and Cargo aircraft,Caproni Ca.148,1938,Italy,"Italy, Germany"
Transport and Utility aircraft,Passenger and Cargo aircraft,Consolidated C-87/C-109 Liberator Express,1942,US,"US, UK"
Transport and Utility aircraft,Passenger and Cargo aircraft,Curtiss-Wright C-46/R5C Commando,1941,US,
Transport and Utility aircraft,Passenger and Cargo aircraft,de Havilland Albatross,1938,UK,
Transport and Utility aircraft,Passenger and Cargo aircraft,Douglas C-47/R4D Skytrain/Dakota,1941,US,"US, Brazil, Canada, France, India, New Zealand, UK"
Transport and Utility aircraft,Passenger and Cargo aircraft,Douglas C-54/R5D Skymaster,1942,US,"US, UK"
Transport and Utility aircraft,Passenger and Cargo aircraft,Douglas DC-2/C-32,1934,US,"US, Australia, Finland, Japan, UK"
Transport and Utility aircraft,Passenger and Cargo aircraft,Douglas DC-3,1935,US,"Canada, US, Japan"
Transport and Utility aircraft,Passenger and Cargo aircraft,Douglas DC-5/C-110/R3D,1940,US,"US, Australia, Japan"
Transport and Utility aircraft,Passenger and Cargo aircraft,Fairchild C-82 Packet,1944,US,US
Transport and Utility aircraft,Passenger and Cargo aircraft,Farman F.224,1932,France,
Transport and Utility aircraft,Passenger and Cargo aircraft,Fiat G.12,1941,Italy,
Transport and Utility aircraft,Passenger and Cargo aircraft,Fiat G.18,1936,Italy,
Transport and Utility aircraft,Passenger and Cargo aircraft,FMA I.Ae.20 El Boyero,1940,Argentina,
Transport and Utility aircraft,Passenger and Cargo aircraft,Fokker F.VII,1925,Netherlands,"Netherlands, Finland, Poland"
Transport and Utility aircraft,Passenger and Cargo aircraft,Fokker Super Universal/Nakajima Ki-6/C2N,1931,US,"Japan, Manchukuo"
Transport and Utility aircraft,Passenger and Cargo aircraft,Ford Trimotor,1926,US,Australia
Transport and Utility aircraft,Passenger and Cargo aircraft,Gotha Go 244[notes 25],1942,Germany,
Transport and Utility aircraft,Passenger and Cargo aircraft,Handley Page H.P.54 Harrow bomber/transport[notes 26],1937,UK,"UK, Canada"
Transport and Utility aircraft,Passenger and Cargo aircraft,Handley Page Halifax[7],1940,UK,
Transport and Utility aircraft,Passenger and Cargo aircraft,Heinkel He 116 mailplane,1938,Germany,Germany
Transport and Utility aircraft,Passenger and Cargo aircraft,Junkers G 24,1925,Germany,Greece
Transport and Utility aircraft,Passenger and Cargo aircraft,Junkers G 31,1926,Germany,"Germany, Australia"
